IdCliente,DiasComoCliente,TotalTransacoes
053f094b-a813-4417-9bb6-7a3d1737b089,578.549147407524,53
056caf66-d67b-449e-8cba-0bab8aca5949,178.009772407357,374
0586bad4-0312-40db-857a-84eb23c37c9e,578.549147407524,1
058d457f-9ffd-4426-a0f0-7aa20065a0db,578.549147407524,2
05922186-4042-4a0f-87eb-3b74c16fa848,61.046404351946,0
05bc8281-1c44-4682-a4a0-4726e30340e4,578.549147407524,3
05c0957e-eddb-438a-bbb7-a0bcc175e3fc,578.549147407524,7
05de679b-9989-4416-9aa4-20c149999c8d,578.549147407524,70
05f22241-6fc0-4d28-ac38-c01e6350b0c7,284.020455277991,4
05f3aaf3-6295-4e7a-a76e-4838c653b4f0,578.549147407524,2
05f456ed-69a2-428a-932a-8218a56628cc,49.0184413888492,1
05f6c58c-5749-46a6-8aa7-07768c3a6f03,578.549147407524,1
061c9dc7-dbdb-42d6-9ef3-307d2f7bfa6e,41.0024460186251,0
0651419a-7e4e-4331-9399-443bf9597f5c,578.549147407524,18
065194d3-d70e-4fa1-9035-1808d6e222b3,578.549147407524,8
06676b84-f81c-4b38-a158-89899683fb06,174.011832592543,37
066c9fc6-f704-4165-a8f3-3d1968b0d4a3,578.549147407524,127
0676528b-8214-4832-9f82-0383b61dca07,578.549147407524,5
06ae0c96-70f2-4a52-b952-9fb92689dc81,7.0325154629536,4
06ba648a-4f7c-4855-8194-9a8f256e21e5,143.04467981495,16
06cd7d0d-d65f-4fba-b871-541e02dd8427,578.549147407524,0
06d758bb-c5e5-4e0e-8c44-276b8ac4cfb6,59.9921566667035,3
06d7ccda-1660-4cb3-8ed8-e82870a73be4,165.085408981424,0
06d83d70-52bf-48a6-b35d-79b5357d3dcb,578.549147407524,12
06dfd571-9e08-490d-a632-83a2def99edf,578.549147407524,1
06ec7361-1bfb-432d-99c8-a647893baf97,264.027503889054,28
06faf76d-37e2-4152-8340-cea8e10877e9,578.549147407524,0
06fd8696-27eb-48ae-8506-e01033153dcf,578.549147407524,1
0705ab51-620a-4093-8771-9e7aaac39e0d,578.549147407524,9
0716bd98-0c2d-4918-94e6-246fbfd7729a,199.060721481685,2
071cc35f-ea3f-4a76-bc08-220e50b0df4d,286.016010833438,1
071f7e17-3378-4945-9626-e478326d62de,217.053406666964,0
072ee7ee-abbf-4f77-b8ac-8e2c17493d15,578.549147407524,2
073306ac-f4b5-4cee-ab79-9c079d891ba0,578.549147407524,1
073d2537-6d5c-4e01-b800-c9889c47e8de,175.038707592525,51
074f10c2-b7a0-4eae-9ec9-aa3bbaf5ee0c,578.549147407524,19
0765524d-ccff-48ef-9f12-1928b0d674d3,84.0179437040351,8
0777d361-7c2f-4724-b117-46a5819363ab,217.087874259334,64
0783d883-f10d-40d3-885c-5f3dadf8f276,578.549147407524,23
07aa65c2-e819-4d9c-9245-a1bc5124c505,47.1528858332895,0
07ab2693-2aad-49fa-92dd-c80d9e995b2b,196.068846481387,0
07b5982b-6c19-4fa3-8131-9ddc3106e1f3,7.02450620383024,1
07c93c33-c0aa-412b-aea2-efab27efc8c0,242.012283981778,38
07e359aa-8dfa-4a4b-ae3c-2ae38dc34764,30.7089275000617,4
07f950f9-77ec-4a79-ad63-d9d6f9e1e03e,578.549147407524,0
082069f5-d13d-467c-a3ab-234c006d6e95,578.549147407524,18
08296e7f-4af4-484e-8b24-ac48889e011b,179.037804814987,28
0864d822-5ecc-40fc-a727-bc22386442e1,283.062862685416,40
086bc05e-8aab-41fd-b15c-3d5e46ebefb7,578.549147407524,17
086e2af0-4d6c-44f7-a838-e8c1f9b75972,200.020154351834,176
087ed7b7-ad98-4b3f-9db5-336226b976d8,188.066902037244,558
088bc725-bfd9-4ba8-b2da-78ff4d0de29f,55.2200154629536,0
089c45b3-627c-42fc-9f98-195434f36aab,578.549147407524,0
08a0c6c0-1f86-4c58-bc7e-ffc866f07eb7,175.00545527786,105
08a156d5-b75e-4e10-ab2c-3f22fb45f6c3,578.549147407524,15
08b3eed4-6cb3-47a4-b1ed-144a72653b3e,203.059633518569,2
08bff46d-4dd0-49c1-ba65-77311b068b13,41.5272145373747,0
08d61419-91a1-40e9-9a7f-fbd9dd17a726,89.997075648047,31
08f2d56c-9ac5-4788-a594-880a15b29841,578.549147407524,0
08fd43aa-af91-4d07-8c63-c1648af971f3,578.549147407524,1
091295b8-6bb5-4eb4-8769-c82f9d109383,578.549147407524,14
0939419f-bef4-45fb-8d67-81a2a89ae794,203.0565895373,11
093f1091-fa89-4c3c-bcd8-d64c389045b8,7.04050157405436,1
0950e159-517b-4fdc-b315-fd70a9063f42,47.5041358335875,0
09567ba0-e4b2-40cc-9094-075153675e63,194.022550185211,11
0957ed8c-374a-4851-bcac-4e34807e5c64,13.5455015744083,0
095ee630-7de5-4104-b122-f624078b99b1,578.549147407524,62
09741d42-fbbc-4d98-8657-03295845f68c,578.549147407524,3
09765e9e-c2ad-40af-aec0-4479a0c49c0b,578.549147407524,2
0982064d-e4f1-489e-8bb8-2e7c9402c56c,578.549147407524,6
09863c51-3b42-45e4-950c-7c09b8ecd0e8,578.549147407524,1
0986d793-ced7-4bdd-ba67-1a9ecca883a8,578.549147407524,1
0994a81f-9865-4356-9e82-c9e8d2881672,578.549147407524,6
09a72955-1c34-40cb-97b3-aec63b377351,578.549147407524,19
09b145b6-db20-4c5b-8b6d-637b8ca8c3c4,48.8729668520391,0
09d8afcc-7c03-4d9c-bb8a-be79d0c18ba6,202.990976111032,2
0a0e8023-0bcf-45b6-a570-abc33f9d0703,229.021786296275,11
